sep=,
HT, AFFINITY, thread_count, input_count, spin_count, mwait_count,complexity,join_type,exec time(ms), num of softwaits, iterations/softwait, cycles in spin/softwait, waitup latency/softwait, num of hardwaits, iterations/hardwait, cycles in spin/hardwait, waitup latency/hardwait
1,affinity,224,30000,128000,0,20,t_join_pause,83891,1713168,23159,984937,2208,4976830,128001,4794913,1811325
1,affinity,224,30000,128000,0,20,t_join_pause,54993,3147737,7314,388351,3937,3542263,128001,4953160,1080767
1,affinity,224,30000,128000,0,20,t_join_pause,83847,1713532,23987,1023932,2412,4976467,128001,4784834,1798477
1,affinity,224,30000,128000,10,20,t_join_umwait_loop,10828,6690000,31,563691,23873,0,0,0,0
1,affinity,224,30000,128000,1000,20,t_join_umwait_loop,7301,6690000,12,340712,18366,0,0,0,0
1,affinity,224,50000,128000,1000,20,t_join_umwait_loop,11723,11150000,11,331852,18321,0,0,0,0
1,affinity,224,50000,128000,0,20,t_join_pause,16182,10572531,3338,223241,4608,577469,128001,4926972,1192493
1,affinity,224,100000,128000,0,20,t_join_pause,279592,5727194,25392,1080087,2490,16572805,128001,4799191,1784328
1,affinity,224,100000,128000,10,20,t_join_umwait_loop,26359,22300000,22,411619,25292,0,0,0,0
1,affinity,224,10,128000,0,20,t_join_pause,89,103,74580,2731915,1751,2124,128001,4940553,1222375
1,affinity,224,10,128000,0,20,t_join_pause,90,114,73420,2704984,1390,2116,128001,4944222,1319426
1,affinity,224,10,128000,0,20,t_join_pause,86,107,67216,2425749,1831,2123,128001,5009038,1184944
1,affinity,10,10,128000,0,20,t_join_pause,27,86,61598,2412294,982,4,128001,5076214,16166
1,affinity,2,100,128000,0,20,t_join_pause,168,100,31199,1219194,247,0,0,0,0
1,affinity,2,10000,128000,0,20,t_join_pause,17445,10000,29207,1163393,241,0,0,0,0
1,affinity,2,10000,128000,0,20,t_join_pause,17364,10000,29212,1160156,254,0,0,0,0
1,affinity,2,10000,128000,0,20,t_join_pause,17468,10000,29206,1164363,232,0,0,0,0
1,affinity,2,10000,128000,0,20,t_join_pause,17165,10000,29226,1147256,271,0,0,0,0
1,affinity,2,10000,128000,0,20,t_join_pause,17398,10000,29225,1159810,217,0,0,0,0
1,affinity,224,10000,128000,0,20,t_join_pause,81828,205327,78131,2934916,1045,2024673,128001,5054882,2548319
1,affinity,224,10000,128000,0,20,t_join_pause,75589,81732,71068,2609621,1194,2148268,128001,5134871,1176068
1,affinity,224,10000,128000,0,20,t_join_pause,81598,199545,77831,2915707,1063,2030445,128001,5047557,2470863
1,affinity,224,10000,128000,0,20,t_join_pause,77836,108352,72672,2685406,916,2121648,128001,5109580,1417244
1,affinity,224,10000,128000,0,20,t_join_pause,27820,562842,23606,934887,2348,1667153,128001,4783073,1785881
1,affinity,224,10000,128000,0,20,t_join_pause,28734,364123,42202,1646536,1579,1865876,128001,4925789,1169283
1,affinity,224,10000,128000,0,20,t_join_pause,27917,562042,22076,869965,2164,1667953,128001,4790676,1817820
